"T_sat (C)","P_sat (Mpa)"
339.791882385,14.56258
339.992765332,14.5993516667
340.193240063,14.6361233333
340.393308225,14.672895
340.592971454,14.7096666667
340.792231373,14.7464383333
340.991089595,14.78321
341.189547719,14.8199816667
341.387607334,14.8567533333
341.585270018,14.893525
341.782537337,14.9302966667
341.979410844,14.9670683333
342.175892084,15.00384
342.371982589,15.0406116667
342.567683882,15.0773833333
342.762997472,15.114155
342.95792486,15.1509266667
343.152467535,15.1876983333
343.346626977,15.22447
343.540404654,15.2612416667
343.733802024,15.2980133333
343.926820536,15.334785
344.119461627,15.3715566667
344.311726725,15.4083283333
344.503617248,15.4451
344.695134604,15.4818716667
344.886280192,15.5186433333
345.077055399,15.555415
345.267461606,15.5921866667
345.457500181,15.6289583333
345.647172485,15.66573
345.836479868,15.7025016667
346.025423672,15.7392733333
346.214005228,15.776045
346.402225861,15.8128166667
346.590086885,15.8495883333
346.777589604,15.88636
346.964735315,15.9231316667
347.151525306,15.9599033333
347.337960856,15.996675
347.524043234,16.0334466667
347.709773702,16.0702183333
347.895153514,16.10699
348.080183914,16.1437616667
348.264866139,16.1805333333
348.449201416,16.217305
348.633190966,16.2540766667
348.816836001,16.2908483333
349.000137723,16.32762
349.183097329,16.3643916667
349.365716005,16.4011633333
349.547994932,16.437935
349.729935282,16.4747066667
349.911538218,16.5114783333
350.092804897,16.54825
350.273736467,16.5850216667
350.454334069,16.6217933333
350.634598836,16.658565
350.814531895,16.6953366667
350.994134363,16.7321083333
351.173407352,16.76888
351.352351964,16.8056516667
351.530969296,16.8424233333
351.709260436,16.879195
351.887226466,16.9159666667
352.064868459,16.9527383333
352.242187483,16.98951
352.419184597,17.0262816667
352.595860854,17.0630533333
352.772217299,17.099825
352.94825497,17.1365966667
353.123974898,17.1733683333
353.299378106,17.21014
353.474465613,17.2469116667
353.649238427,17.2836833333
353.823697551,17.320455
353.997843981,17.3572266667
354.171678705,17.3939983333
354.345202704,17.43077
354.518416953,17.4675416667
354.691322419,17.5043133333
354.863920061,17.541085
355.036210834,17.5778566667
355.208195682,17.6146283333
355.379875543,17.6514
355.55125135,17.6881716667
355.722324025,17.7249433333
355.893094486,17.761715
356.063563642,17.7984866667
356.233732394,17.8352583333
356.403601636,17.87203
356.573172256,17.9088016667
356.742445131,17.9455733333
356.911421134,17.982345
357.080101127,18.0191166667
357.248485966,18.0558883333
357.416576498,18.09266
357.584373562,18.1294316667
357.751877989,18.1662033333
357.919090601,18.202975
358.086012213,18.2397466667
358.252643628,18.2765183333
358.418985645,18.31329
358.585039048,18.3500616667
358.750804617,18.3868333333
358.91628312,18.423605
359.081475316,18.4603766667
359.246381954,18.4971483333
359.411003772,18.53392
359.5753415,18.5706916667
359.739395856,18.6074633333
359.903167547,18.644235
360.066657269,18.6810066667
360.229865708,18.7177783333
360.392793537,18.75455
360.555441417,18.7913216667
360.717809999,18.8280933333
360.879899918,18.864865
361.041711799,18.9016366667
361.203246252,18.9384083333
361.364503875,18.97518
361.525485252,19.0119516667
361.68619095,19.0487233333
361.846621525,19.085495
362.006777516,19.1222666667
362.166659446,19.1590383333
362.326267824,19.19581
362.485603142,19.2325816667
362.644665875,19.2693533333
362.80345648,19.306125
362.9619754,19.3428966667
363.120223056,19.3796683333
363.278199853,19.41644
363.435906177,19.4532116667
363.593342396,19.4899833333
363.750508856,19.526755
363.907405885,19.5635266667
364.064033791,19.6002983333
364.220392861,19.63707
364.376483362,19.6738416667
364.532305538,19.7106133333
364.687859615,19.747385
364.843145793,19.7841566667
364.998164255,19.8209283333
365.15291516,19.8577
365.307398644,19.8944716667
365.461614822,19.9312433333
365.615563788,19.968015
365.769245614,20.0047866667
365.922660348,20.0415583333
366.075808019,20.07833
366.228688633,20.1151016667
366.381302176,20.1518733333
366.533648614,20.188645
366.685727892,20.2254166667
366.837539937,20.2621883333
366.989084656,20.29896
367.140361938,20.3357316667
367.291371658,20.3725033333
367.442113674,20.409275
367.592587829,20.4460466667
367.742793954,20.4828183333
367.892731869,20.51959
368.042401385,20.5563616667
368.191802304,20.5931333333
368.340934425,20.629905
368.489797543,20.6666766667
368.638391453,20.7034483333
368.786715955,20.74022
368.934770853,20.7769916667
369.082555962,20.8137633333
369.230071112,20.850535
369.37731615,20.8873066667
369.524290946,20.9240783333
369.670995401,20.96085
369.817429447,20.9976216667
369.963593057,21.0343933333
370.109486251,21.071165
370.255109103,21.1079366667
370.400461745,21.1447083333
370.545544377,21.18148
370.690357274,21.2182516667
370.834900789,21.2550233333
370.979175363,21.291795
371.12318152,21.3285666667
371.266919877,21.3653383333
371.410391127,21.40211
371.553596038,21.4388816667
371.69653542,21.4756533333
371.839210095,21.512425
371.981620837,21.5491966667
372.123768291,21.5859683333
372.265652854,21.62274
372.407274514,21.6595116667
372.548632631,21.6962833333
372.68972565,21.733055
372.83055073,21.7698266667
372.971103266,21.8065983333
373.111376272,21.84337
373.251359553,21.8801416667
373.391038486,21.9169133333
373.530391952,21.953685
373.669388028,21.9904566667
373.807972001,22.0272283333
373.946,22.0639999994
