"Temperature (C)","Pressure (MPa)","Density (kg/m3)","Volume (m3/kg)","Internal Energy (kJ/kg)","Enthalpy (kJ/kg)","Entropy (J/g*K)","Cv (J/g*K)","Cp (J/g*K)","Sound Spd. (m/s)","Joule-Thomson (K/MPa)","Viscosity (Pa*s)","Therm. Cond. (W/m*K)",Phase,"Surf. Tension (N/m)","Vapor Pressure (Mpa)","h_fg (kJ/kg)"
26.01,0.101325,996.78371164,0.00100322666625,109.041394527,109.143046469,0.381339471635,4.13355026035,4.18092441792,1499.36531962,-0.220792393572,0.00086998609391,0.608909488371,liquid,0.0718161712603,0.00336587915139,2439.2815522
27.01,0.101325,996.513000172,0.00100349920154,113.222117553,113.323797109,0.395291132233,4.12952742534,4.18058437772,1501.92763512,-0.220131141086,0.00085080211157,0.61058928265,liquid,0.0716611158433,0.00357020790331,2436.909672434
28.01,0.101325,996.233107869,0.00100378113526,117.402521708,117.504229832,0.409195331855,4.12545795317,4.18028816486,1504.41624424,-0.219476259618,0.0008322935878,0.612250950702,liquid,0.0715054981529,0.00378525810401,2434.536750862
29.01,0.101325,995.944199352,0.00100407231715,121.582649612,121.684387239,0.423052526398,4.12134290811,4.18003335835,1506.83228129,-0.21882749332,0.000814428364,0.61389403505,liquid,0.071349319436,0.004011497406,2432.162709305
30.01,0.101325,995.64643299,0.00100437260343,125.762541542,125.864309596,0.436863159513,4.11718333217,4.17981769957,1509.17685702,-0.218184595604,0.00079717620813,0.615518110113,liquid,0.071192580944,0.00424940940145,2429.787471241
31.01,0.101325,995.339961204,0.00100468185643,129.942235595,130.044034984,0.450627663282,4.11298024801,4.17963908243,1511.45105928,-0.217547328548,0.00078050867714,0.617122781703,liquid,0.0710352839329,0.00449949360059,2427.410961677
32.01,0.101325,995.024930768,0.0010049999443,134.121767833,134.223599452,0.464346458858,4.10873466159,4.17949554427,1513.65595377,-0.216915462345,0.00076439899069,0.618707686433,liquid,0.0708774296633,0.00476226624301,2425.033107011
33.01,0.101325,994.701483083,0.00100532674074,138.301172423,138.403037155,0.47801995706,4.10444756436,4.17938525746,1515.79258462,-0.216288774803,0.00074882191507,0.620272491082,liquid,0.0707190194002,0.00503826019087,2422.653834859
34.01,0.101325,994.369754433,0.00100566212472,142.480481768,142.582380483,0.491648558941,4.1001199352,4.17930652154,1517.86197495,-0.215667050874,0.00073375365646,0.621816891886,liquid,0.0705600544134,0.00532802562153,2420.273073968
35.01,0.101325,994.02987623,0.00100600598022,146.659726631,146.761660187,0.50523265631,4.09575274218,4.17925775587,1519.86512747,-0.215050082226,0.00071917176267,0.623340613799,liquid,0.0704005359771,0.00563213005146,2417.890754059
36.01,0.101325,993.68197524,0.001006358196,150.83893625,150.940905494,0.518772632234,4.09134694393,4.17923749283,1521.8030249,-0.214437666842,0.00070505503261,0.624843409708,liquid,0.0702404653705,0.0059511590829,2415.506805752
37.01,0.101325,993.326173797,0.00100671866541,155.01813845,155.120144219,0.532268861499,4.08690349084,4.17924437138,1523.67663052,-0.213829608657,0.00069138343276,0.626325059611,liquid,0.0700798438772,0.00628571638619,2413.121160424
